type,part,manufacturer,voltage (min-max),price per unit,number of units,price,datasheet,,,,,,
motor,397172,Maxon,24,,2,,https://www.maxonmotorusa.com/medias/sys_master/root/8825435127838/17-EN-267.pdf,,,,,,
motor driver,L6235,ST Micro,8-52,,2,,http://www.st.com/content/ccc/resource/technical/document/datasheet/e0/55/d7/b1/d5/06/47/96/CD00002347.pdf/files/CD00002347.pdf/jcr:content/translations/en.CD00002347.pdf,,,,,,
microcontroller,STM32F401CEU,ST Micro,1.7-3.6,,,,http://www.st.com/content/ccc/resource/technical/document/datasheet/b3/a5/46/3b/b4/e5/4c/85/DM00115249.pdf/files/DM00115249.pdf/jcr:content/translations/en.DM00115249.pdf,,,,,,
,,,,,,,http://www.st.com/content/ccc/resource/technical/document/application_note/b9/9b/16/3a/12/1e/40/0c/CD00167594.pdf/files/CD00167594.pdf/jcr:content/translations/en.CD00167594.pdf,,,,,,
boost converter,TPS61175,Texas Instruments,2.9-18,,2,,http://www.ti.com/lit/ds/slvs892d/slvs892d.pdf,,,,,,
,,,,,,,http://www.ti.com/lit/an/slva337/slva337.pdf,,,,,,
bms,AD7280A,Analog Devices,8-30,,,,http://www.analog.com/media/en/technical-documentation/data-sheets/AD7280A.pdf,,,,,,
,,,,,,,http://www.analog.com/media/en/technical-documentation/user-guides/UG-252.pdf,,,,,,
,,,,,,,http://www.analog.com/media/en/reference-design-documentation/reference-designs/CN0235.pdf,,,,,,
accel,LIS3DE,ST Micro,1.7-3.6,,,,http://www.st.com/content/ccc/resource/technical/document/datasheet/group3/10/aa/64/5a/f1/cc/49/7f/DM00066267/files/DM00066267.pdf/jcr:content/translations/en.DM00066267.pdf,,,,,,
gyro,L3GD20H,ST Micro,2.2-3.6,,,,http://www.st.com/content/ccc/resource/technical/document/datasheet/35/b1/e0/39/71/57/43/01/DM00060659.pdf/files/DM00060659.pdf/jcr:content/translations/en.DM00060659.pdf,,,,,,
battery,INR18650-25R5,Samsung,,,4,,https://www.powerstream.com/p/INR18650-25R-datasheet.pdf,,,,,,
battery charger,ISL9238,Intersil,3.2-23.4,,,,https://www.intersil.com/content/dam/Intersil/documents/isl9/isl9238-38a.pdf,,,,,,
,,,,,,,https://www.intersil.com/content/dam/Intersil/documents/isl9/isl9238eval1z-user-guide.pdf,,,,,,
linear regulator,LM317,Texas Instruments,X-20,,,,http://www.ti.com/lit/ds/symlink/lm317.pdf,,,,,,
USB connector,DX07S024JJ2R1300,JAE Electronics,,,,,https://www.digikey.com/product-detail/en/jae-electronics/DX07S024JJ2R1300/670-2794-6-ND/5246069,,,,,,
current sense,LTC6102,Linear Tech,,,,,http://cds.linear.com/docs/en/datasheet/6102fe.pdf,,,,,,
battery connector,2-pin Female,XT60,,,,,https://www.sparkfun.com/products/10474,,,,,,
battery holder,,,,,,,,,,,,,
USB to UART,FT231X,FTDI,,,,,http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf,,,,,,
USB controller,TUSB320LAI,Texas Instruments,,,,,http://www.ti.com/lit/ds/symlink/tusb320lai.pdf,,,,,,
thermistor,AT-4 Shape 1,Semitec,,,,,http://www.mouser.com/ds/2/362/semitec_atthermistor-371460.pdf,,,,,,
inductor (charger),WE-SD Rod Core Choke,Worth Electronik ,,,,,http://katalog.we-online.de/pbs/datasheet/744710215.pdf,,,,,,
power transistor,EPC2023,EPC,,,,,http://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2023_datasheet.pdf,,,,,,
op amp,LM358,ST Micro,,,,,http://static6.arrow.com/aropdfconversion/f8d16131022a36887086d0d189a6ab5e153d6d83/556438431794685cd000.pdf,,,,,,
inductor (converter),MSS1038-153ML,Coilcraft,,,,,http://www.mouser.com/ds/2/597/mss1038-270676.pdf,,,,,,
schottky diode,SS3P6L,Vishay,,,,,https://www.vishay.com/docs/88987/ss3p6l.pdf,,,,,,
PCB motor connector,39281083,Molex,,,,,http://www.molex.com/pdm_docs/sd/039281083_sd.pdf,,,,,,
motor cable,451350801,Molex,,,,,http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-5853.PDF,,,,,,
push button,ITS13FV2SR,C&K Components,,,,,http://www.ckswitches.com/media/1894/its.pdf,,,,,,
RGB LED,QBLP677-RGB (High Bright),QT Brightek,,,,,http://www.qt-brightek.com/datasheet/QBLP677-RGB%20(High%20Bright).pdf,,,,,,
diode,BAT54C,Diodes Inc,,,,,https://www.diodes.com/assets/Datasheets/ds11005.pdf,,,,,,
p-channel fet,SI7655DN,Vishay,,,,,http://www.vishay.com/docs/63617/si7655dn.pdf,,,,,,
SPDT switch,Surface Mount Right Angle Switch,Sparkfun,,,,,https://www.sparkfun.com/products/597,,,,,,
mosfet,2N7002,Diodes Inc,,,,,https://www.diodes.com/assets/Datasheets/ds11303.pdf,,,,,,
crystal,ABM3B-16.000MHZ-B2-T,,,,,,,,,,,,